,ID,Degree,betweenness_centrality,clust_coefficient,closeness_centrality,eigenvector_centrality
4502,"['POU5F1', 'STAT3', 'SALL4', 'NANOG', 'SOX2', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'KLF2', 'GATA4', 'MEF2C', 'ASCL1', 'RBPJ', 'HEYL']",24,0.0,0,0.0024532352039251764,-0.0018303918306357388
5195,"['PAX3', 'FOXD3', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'KLF2', 'GATA4', 'MEF2C', 'ASCL1', 'RBPJ', 'HES7']",24,0.0,0,0.0024532352039251764,0.0012401428627575367
5636,"['NR0B1', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'RELA', 'REL', 'NFATC2', 'EGR3']",16,0.0,0,0.0016354901359501176,-0.03506426513514206
7515,"['IRF8', 'GATA2', 'SPI1', 'EBF1', 'PPARG', 'TP53', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'KLF5', 'SOX2', 'STAT3', 'MYOD1', 'SOX6']",16,0.0,0,0.0016354901359501176,0.010049698446582588
1034,"['STAT3', 'SOX2', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'ASCL1', 'RBPJ', 'HES5']",16,0.0,0,0.0016354901359501176,0.018663010603417317
414,"['TCF7L2', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'MYCN', 'MLXIP']",15,0.0,0,0.0015332720024532351,-0.008610681318000076
708,"['STAT5B', 'EBF1', 'PPARG', 'TP53', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'KLF5', 'SOX2', 'STAT3', 'MYOD1', 'SIX1']",15,0.0,0,0.0015332720024532351,0.00943849627636706
4225,"['PPARG', 'NFE2L2', 'ATF3', 'STAT3', 'SALL4', 'NANOG', 'POU5F1', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'KLF5', 'SOX2', 'DNMT1', 'TP53', 'HMGA2', 'PLAG1']",13,0.0,0,0.0013288357354594705,-0.003196187290158986
4202,"['PPARG', 'NFE2L2', 'ATF3', 'STAT3', 'SALL4', 'NANOG', 'POU5F1', 'SNAI1', 'ZEB1', 'SIX2']",13,0.0,0,0.0013288357354594705,-0.043171222756185686
2665,"['SP1', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'FOXO1', 'CREB1', 'NR4A2']",13,0.0,0,0.0013288357354594705,-0.003392424055805587
3565,"['SETDB1', 'STAT3', 'SALL4', 'NANOG', 'POU5F1', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'ASCL1', 'RBPJ', 'HES7']",13,0.0,0,0.0013288357354594705,-0.015152922924788967
1037,"['STAT3', 'SOX2', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'GATA6', 'NKX2-1', 'HEY1']",13,0.0,0,0.0013288357354594705,-0.007797499857861638
27,erbb signaling pathway,13,0.0,0,0.0,4.5404795253478114e-13
1695,"['STAT3', 'KLF5', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'FOXO1', 'CREB1', 'NR4A2']",13,0.0,0,0.0013288357354594705,0.024497247000538236
831,"['STAT3', 'ZEB1', 'AR', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TCF7L1']",13,0.0,0,0.0013288357354594705,-0.0013564725629619909
5690,"['NME2', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'KLF2', 'GATA4', 'MEF2C', 'ASCL1', 'RBPJ', 'HES7']",13,0.0,0,0.0013288357354594705,0.007440396118838988
3255,"['SNAI1', 'AR', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'FOS', 'PRDM1', 'XBP1', 'SP7', 'SATB2', 'RUNX2', 'SNAI2', 'STAT1', 'IRF8', 'GATA2', 'SPI1', 'KLF4', 'TWIST1', 'FOXM1', 'STAT3', 'RORC']",13,0.0,0,0.0013288357354594705,-0.015648663847904712
1771,"['STAT3', 'JUNB', 'JUN', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'IRF9', 'IRF7', 'ALX1']",12,0.0,0,0.0012266176019625882,-0.010553269110756814
3532,"['SIX1', 'GATA2', 'SPI1', 'EBF1', 'PPARG', 'TP53', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'KLF5', 'SOX2', 'STAT3', 'HLX']",12,0.0,0,0.0012266176019625882,-0.024873178177910894
6566,"['MYC', 'NFE2L2', 'ATF3', 'STAT3', 'SALL4', 'NANOG', 'POU5F1', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'NEUROG3', 'NEUROD1', 'NKX2-2', 'FOXA2', 'PDX1']",12,0.0,0,0.0012266176019625882,-0.009063034473205634
9484,"['ASH1L', 'FOXP3', 'IRF8', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'FOS', 'PRDM1', 'MSX1', 'PAX3', 'MYOD1', 'MYOG', 'MEF2A', 'JUN', 'SREBF1', 'AR', 'TWIST1', 'FOXM1', 'STAT3', 'BATF']",12,0.0,0,0.0012266176019625882,-0.012725553974412858
4298,"['PPARA', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'GTF2B']",12,0.0,0,0.0012266176019625882,-0.023017833029531837
6447,"['MYOD1', 'PPARG', 'TP53', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'KLF5', 'SOX2', 'STAT3', 'MYCN', 'LIN28B']",12,0.0,0,0.0012266176019625882,-0.012041502109793281
7735,"['HMGA2', 'TWIST1', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'POU2F1']",12,0.0,0,0.0012266176019625882,-0.010444653521106113
5102,"['POU3F2', 'MITF', 'FOXD3', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'RORC']",12,0.0,0,0.0012266176019625882,-0.012725553973837306
5716,"['NME2', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'CEBPD']",12,0.0,0,0.0012266176019625882,0.006010488974419846
9233,"['BCL6', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'SOX9', 'NEUROG3', 'FOXM1', 'STAT3', 'TWIST1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'FOXP3', 'IRF8', 'EBF1', 'PPARG', 'FOS', 'FOSL2', 'FOSL1']",12,0.0,0,0.0012266176019625882,-0.03248543747439509
5183,"['PAX3', 'FOXD3', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'NKX3-1', 'SIX6']",12,0.0,0,0.0012266176019625882,-0.032485437474863994
404,"['TCF7L2', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'NEUROG3', 'NEUROD1', 'NKX2-2', 'FOXA2', 'SOX14']",12,0.0,0,0.0012266176019625882,0.004477008097924183
4218,"['PPARG', 'NFE2L2', 'ATF3', 'STAT3', 'SALL4', 'NANOG', 'POU5F1', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'KLF5', 'SOX2', 'DNMT1', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'GLI2', 'GLI1']",12,0.0,0,0.0012266176019625882,0.0017588524983032554
274,"['TWIST1', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'JUNB']",12,0.0,0,0.0012266176019625882,-0.0019298293997884566
1147,"['STAT3', 'SALL4', 'NANOG', 'POU5F1', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'FOXO1', 'FOXP3', 'IRF8', 'EBF1', 'ZNF423']",12,0.0,0,0.0012266176019625882,-0.021856677545278657
5444,"['NR5A2', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'KLF2', 'GATA4', 'MEF2C', 'ASCL1', 'RBPJ', 'HES7']",12,0.0,0,0.0012266176019625882,-0.008408702030189657
5725,"['NME2', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'PLAGL1']",12,0.0,0,0.0012266176019625882,0.008558455392380265
5913,"['NFKB2', 'NKX3-1', 'TWIST1', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'HIF1A']",12,0.0,0,0.0012266176019625882,0.030084023229463526
4155,"['RBPJ', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'E2F7']",12,0.0,0,0.0012266176019625882,-0.011853620423006937
2496,"['STAT1', 'PRDM1', 'XBP1', 'SP7', 'SATB2', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'STAT3', 'HIF1A', 'ETS1']",12,0.0,0,0.0012266176019625882,0.002713738068113637
2262,"['STAT3', 'CEBPD', 'PPARG', 'TP53', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'KLF5', 'SOX2', 'DNMT1', 'FOXP3', 'IRF8', 'EBF1', 'ZNF423']",12,0.0,0,0.0012266176019625882,-0.0020384449885753313
5939,"['NFE2L2', 'ATF3', 'STAT3', 'SALL4', 'NANOG', 'POU5F1', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'GTF2B']",12,0.0,0,0.0012266176019625882,-0.01623443614712479
439,"['TCF7L1', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'FOXO1', 'FOXP3', 'IRF8', 'EBF1', 'POU2AF1']",12,0.0,0,0.0012266176019625882,-0.017101788431711527
5715,"['NME2', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'HIF1A']",12,0.0,0,0.0012266176019625882,0.030084023228624763
7071,"['KLF5', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'FOXO1', 'CREB1', 'SOX3']",12,0.0,0,0.0012266176019625882,-0.0001328333069802655
1630,"['STAT3', 'MAF', 'PRDM1', 'XBP1', 'SP7', 'SATB2', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'PLAGL1']",12,0.0,0,0.0012266176019625882,0.0055216793183212945
6816,"['LIN28A', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'KLF2', 'GATA4', 'MEF2C', 'ASCL1', 'RBPJ', 'HES1']",12,0.0,0,0.0012266176019625882,0.013983278070805547
6167,"['NFATC1', 'NFATC3', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'NKX3-2']",11,0.0,0,0.0011243994684657058,-0.00271167241154933
4377,"['POU5F1', 'ZIC3', 'NANOG', 'STAT3', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'FOXO1', 'IKZF1', 'GFI1']",11,0.0,0,0.0011243994684657058,-0.008195933109935976
5053,"['POU5F1', 'DNMT1', 'TP53', 'NANOG', 'STAT3', 'SALL4', 'MYC', 'E2F1']",11,0.0,0,0.0011243994684657058,0.007067111645762433
973,"['STAT3', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'SOX9', 'NEUROG3', 'FOXM1', 'SOX2', 'TWIST1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'FOXP3', 'IRF8', 'EBF1', 'PPARG', 'NFE2L2', 'ATF3', 'CREB1', 'NR4A2']",11,0.0,0,0.0011243994684657058,0.01826738489872122
4044,"['RELA', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'FOXO1', 'FOXP3', 'IRF8', 'EBF1', 'ZNF423']",11,0.0,0,0.0011243994684657058,-0.02048102045264644
6364,"['NANOG', 'STAT3', 'SALL4', 'POU5F1', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'NEUROG3', 'NEUROD1', 'NKX2-2', 'FOXA2', 'HES6']",11,0.0,0,0.0011243994684657058,0.005939602753192864
9211,"['CEBPB', 'EBF1', 'PPARG', 'TP53', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'KLF5', 'SOX2', 'STAT3', 'MYOD1', 'BARX2']",11,0.0,0,0.0011243994684657058,-0.0025752213681993425
4696,"['POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'NEUROG3', 'PAX4']",11,0.0,0,0.0011243994684657058,-0.0179777405011666
411,"['TCF7L2', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'RORC']",11,0.0,0,0.0011243994684657058,0.008348942328243276
6274,"['NCOA1', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'FOXO1', 'CREB1', 'REST']",11,0.0,0,0.0011243994684657058,-0.03389675082039789
9116,"['CREB1', 'MITF', 'FOXD3', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'KLF2', 'GATA4', 'MEF2C', 'ASCL1', 'RBPJ', 'HEY2']",11,0.0,0,0.0011243994684657058,0.010863449725711011
8087,"['FOXO3', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'TBX20']",11,0.0,0,0.0011243994684657058,-0.006892073312639256
8163,"['FOXO3', 'AR', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'FOS', 'PRDM1', 'XBP1', 'SP7', 'SATB2', 'RUNX2', 'SNAI2', 'STAT1', 'IRF8', 'GATA2', 'SPI1', 'KLF4', 'TWIST1', 'FOXM1', 'STAT3', 'HLX']",11,0.0,0,0.0011243994684657058,-0.006892073313111853
6144,"['NFATC1', 'NFATC3', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'FOXO1', 'CREB1', 'REST']",11,0.0,0,0.0011243994684657058,-0.02107813475259999
1257,"['STAT3', 'PRDM1', 'XBP1', 'SP7', 'SATB2', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'TBX5']",11,0.0,0,0.0011243994684657058,-0.029797593659780502
4670,"['POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'ZEB1', 'AR', 'TFEB']",11,0.0,0,0.0011243994684657058,0.0033613862030208953
8225,"['FOXM1', 'STAT3', 'SALL4', 'NANOG', 'POU5F1', 'SNAI1', 'ZEB1', 'AR', 'TFEB']",11,0.0,0,0.0011243994684657058,-0.02034004882809895
1298,"['STAT3', 'NFATC2', 'SOX2', 'NANOG', 'POU5F1', 'TET2']",11,0.0,0,0.0011243994684657058,0.0009211276700195913
2568,"['SREBF1', 'AR', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'FOS', 'PRDM1', 'XBP1', 'SP7', 'SATB2', 'RUNX2', 'SNAI2', 'STAT1', 'IRF8', 'GATA2', 'SPI1', 'KLF4', 'TWIST1', 'FOXM1', 'STAT3', 'NKX2-1']",11,0.0,0,0.0011243994684657058,-0.021027609177622718
5495,"['NR5A1', 'NR0B1', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'KLF2', 'GATA4', 'GATA6', 'NKX2-1', 'HEY1']",11,0.0,0,0.0011243994684657058,0.014680631796367881
8866,"['E2F1', 'PPARG', 'TP53', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'KLF5', 'SOX2', 'STAT3', 'MYOD1', 'SOX6']",11,0.0,0,0.0011243994684657058,-0.004669262876026758
6996,"['KMT2A', 'SPI1', 'EBF1', 'PPARG', 'TP53', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'KLF5', 'SOX2', 'STAT3', 'BATF']",11,0.0,0,0.0011243994684657058,-0.004719788450474693
8491,"['ETV2', 'SOX9', 'NEUROG3', 'FOXM1', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'TET1', 'EGR1', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'KLF2', 'TBX21', 'RUNX3', 'FOXP3', 'IRF8', 'EBF1', 'PPARG', 'TP53', 'ZBTB49']",11,0.0,0,0.0011243994684657058,-0.003756060381014684
5646,"['NR0B1', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'KLF2', 'GATA4', 'GATA6', 'NKX2-1', 'HEY1']",11,0.0,0,0.0011243994684657058,-0.008195933109713897
8676,"['ESR1', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'HIF1A']",11,0.0,0,0.0011243994684657058,0.014084540157000044
5733,"['NME2', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'FOXO1', 'IKZF1', 'GFI1']",11,0.0,0,0.0011243994684657058,-0.012812330588658511
